Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank  3, month  1 	influx: 106	infected:  0
Land on rank  7, month  1 	influx: 119	infected:  4
Land on rank  5, month  1 	influx: 114	infected:  4
Land on rank 12, month  1 	influx: 99	infected:  3
Land on rank 16, month  1 	influx: 135	infected:  2
Land on rank 17, month  1 	influx: 101	infected:  0
Land on rank 10, month  1 	influx: 127	infected: 12
Land on rank  6, month  1 	influx: 106	infected:  0
Land on rank  2, month  1 	influx: 126	infected:  6
Land on rank 11, month  1 	influx: 120	infected:  2
Land on rank  8, month  1 	influx: 127	infected:  5
Land on rank 14, month  1 	influx: 99	infected:  1
Land on rank 13, month  1 	influx: 122	infected:  2
Land on rank 15, month  1 	influx: 119	infected:  3
Land on rank  4, month  1 	influx: 107	infected:  3
Land on rank  9, month  1 	influx: 140	infected:  6

		    Timer report: month  2    
Land on rank  5, month  2 	influx: 250	infected:  4
Land on rank 10, month  2 	influx: 251	infected: 12
Land on rank 12, month  2 	influx: 219	infected:  4
Land on rank 13, month  2 	influx: 238	infected:  2
Land on rank  7, month  2 	influx: 238	infected:  4
Land on rank  8, month  2 	influx: 258	infected:  5
Land on rank 16, month  2 	influx: 253	infected:  2
Land on rank 15, month  2 	influx: 233	infected:  3
Land on rank  2, month  2 	influx: 257	infected:  6
Land on rank  9, month  2 	influx: 288	infected:  6
Land on rank  4, month  2 	influx: 241	infected:  3
Land on rank  6, month  2 	influx: 243	infected:  0
Land on rank 17, month  2 	influx: 219	infected:  0
Land on rank 14, month  2 	influx: 227	infected:  1
Land on rank 11, month  2 	influx: 233	infected:  2
Land on rank  3, month  2 	influx: 229	infected:  0

		    Timer report: month  3    
Land on rank  3, month  3 	influx: 366	infected:  1
Land on rank 10, month  3 	influx: 387	infected: 14
Land on rank 17, month  3 	influx: 371	infected:  5
Land on rank  2, month  3 	influx: 390	infected:  7
Land on rank 11, month  3 	influx: 376	infected:  6
Land on rank 16, month  3 	influx: 406	infected:  7
Land on rank  9, month  3 	influx: 425	infected:  7
Land on rank 15, month  3 	influx: 392	infected:  4
Land on rank  4, month  3 	influx: 385	infected:  3
Land on rank  7, month  3 	influx: 387	infected:  9
Land on rank 12, month  3 	influx: 345	infected:  6
Land on rank 14, month  3 	influx: 361	infected:  2
Land on rank  6, month  3 	influx: 378	infected:  1
Land on rank 13, month  3 	influx: 374	infected:  5
Land on rank  8, month  3 	influx: 389	infected:  9
Land on rank  5, month  3 	influx: 396	infected:  7

		    Timer report: month  4    
Land on rank  5, month  4 	influx: 417	infected:  6
Land on rank  8, month  4 	influx: 422	infected: 11
Land on rank 10, month  4 	influx: 409	infected:  5
Land on rank 15, month  4 	influx: 427	infected:  5
Land on rank  9, month  4 	influx: 429	infected:  9
Land on rank  3, month  4 	influx: 415	infected:  5
Land on rank 13, month  4 	influx: 404	infected:  9
Land on rank 16, month  4 	influx: 425	infected: 12
Land on rank  2, month  4 	influx: 426	infected: 10
Land on rank  7, month  4 	influx: 427	infected: 12
Land on rank 12, month  4 	influx: 399	infected:  6
Land on rank 14, month  4 	influx: 410	infected:  6
Land on rank 17, month  4 	influx: 403	infected: 10
Land on rank  6, month  4 	influx: 431	infected: 14
Land on rank 11, month  4 	influx: 417	infected:  6
Land on rank  4, month  4 	influx: 434	infected:  5

		    Timer report: month  5    
Land on rank  5, month  5 	influx: 462	infected: 17
Land on rank  8, month  5 	influx: 468	infected: 15
Land on rank 10, month  5 	influx: 472	infected: 17
Land on rank 11, month  5 	influx: 481	infected: 11
Land on rank 16, month  5 	influx: 517	infected: 19
Land on rank  4, month  5 	influx: 501	infected: 12
Land on rank 17, month  5 	influx: 462	infected: 16
Land on rank  6, month  5 	influx: 446	infected: 24
Land on rank  3, month  5 	influx: 484	infected: 14
Land on rank  2, month  5 	influx: 472	infected: 19
Land on rank  7, month  5 	influx: 491	infected: 18
Land on rank 12, month  5 	influx: 466	infected: 14
Land on rank 14, month  5 	influx: 459	infected: 16
Land on rank 15, month  5 	influx: 521	infected: 16
Land on rank  9, month  5 	influx: 494	infected: 19
Land on rank 13, month  5 	influx: 470	infected: 18

		    Timer report: month  6    
Land on rank  2, month  6 	influx: 542	infected: 37
Land on rank  8, month  6 	influx: 528	infected: 40
Land on rank 12, month  6 	influx: 522	infected: 37
Land on rank 13, month  6 	influx: 490	infected: 36
Land on rank 14, month  6 	influx: 532	infected: 34
Land on rank  3, month  6 	influx: 539	infected: 43
Land on rank  4, month  6 	influx: 508	infected: 33
Land on rank  5, month  6 	influx: 484	infected: 31
Land on rank 15, month  6 	influx: 535	infected: 35
Land on rank 11, month  6 	influx: 532	infected: 23
Land on rank 17, month  6 	influx: 472	infected: 26
Land on rank 16, month  6 	influx: 524	infected: 33
Land on rank  7, month  6 	influx: 548	infected: 45
Land on rank  9, month  6 	influx: 592	infected: 41
Land on rank 10, month  6 	influx: 516	infected: 42
Land on rank  6, month  6 	influx: 528	infected: 46

		    Timer report: month  7    
Land on rank  8, month  7 	influx: 542	infected: 79
Land on rank 12, month  7 	influx: 552	infected: 83
Land on rank 15, month  7 	influx: 563	infected: 83
Land on rank 17, month  7 	influx: 500	infected: 57
Land on rank  3, month  7 	influx: 558	infected: 76
Land on rank  2, month  7 	influx: 537	infected: 72
Land on rank  6, month  7 	influx: 538	infected: 83
Land on rank 11, month  7 	influx: 553	infected: 87
Land on rank 14, month  7 	influx: 577	infected: 76
Land on rank 13, month  7 	influx: 512	infected: 74
Land on rank  5, month  7 	influx: 520	infected: 68
Land on rank 16, month  7 	influx: 553	infected: 81
Land on rank  7, month  7 	influx: 569	infected: 85
Land on rank  9, month  7 	influx: 624	infected: 71
Land on rank 10, month  7 	influx: 560	infected: 89
Land on rank  4, month  7 	influx: 529	infected: 80

		    Timer report: month  8    
Land on rank 16, month  8 	influx: 491	infected: 138
Land on rank 17, month  8 	influx: 482	infected: 134
Land on rank  4, month  8 	influx: 475	infected: 142
Land on rank  8, month  8 	influx: 523	infected: 152
Land on rank  2, month  8 	influx: 533	infected: 138
Land on rank  7, month  8 	influx: 542	infected: 139
Land on rank 15, month  8 	influx: 502	infected: 136
Land on rank 12, month  8 	influx: 515	infected: 143
Land on rank  3, month  8 	influx: 529	infected: 152
Land on rank  9, month  8 	influx: 549	infected: 119
Land on rank 10, month  8 	influx: 535	infected: 148
Land on rank  5, month  8 	influx: 500	infected: 127
Land on rank 14, month  8 	influx: 571	infected: 143
Land on rank 13, month  8 	influx: 460	infected: 131
Land on rank 11, month  8 	influx: 543	infected: 168
Land on rank  6, month  8 	influx: 533	infected: 146

		    Timer report: month  9    
Land on rank  3, month  9 	influx: 435	infected: 198
Land on rank  4, month  9 	influx: 391	infected: 178
Land on rank  7, month  9 	influx: 434	infected: 186
Land on rank 12, month  9 	influx: 418	infected: 189
Land on rank 13, month  9 	influx: 386	infected: 176
Land on rank  6, month  9 	influx: 395	infected: 188
Land on rank  5, month  9 	influx: 429	infected: 195
Land on rank 14, month  9 	influx: 464	infected: 205
Land on rank 10, month  9 	influx: 447	infected: 187
Land on rank  2, month  9 	influx: 411	infected: 186
Land on rank 16, month  9 	influx: 435	infected: 199
Land on rank  8, month  9 	influx: 406	infected: 177
Land on rank 11, month  9 	influx: 436	infected: 225
Land on rank 15, month  9 	influx: 413	infected: 180
Land on rank 17, month  9 	influx: 397	infected: 177
Land on rank  9, month  9 	influx: 406	infected: 173

		    Timer report: month 10    
Land on rank  2, month 10 	influx: 277	infected: 162
Land on rank  5, month 10 	influx: 282	infected: 179
Land on rank  8, month 10 	influx: 252	infected: 149
Land on rank  9, month 10 	influx: 253	infected: 156
Land on rank 11, month 10 	influx: 271	infected: 175
Land on rank 12, month 10 	influx: 252	infected: 156
Land on rank 14, month 10 	influx: 302	infected: 187
Land on rank 15, month 10 	influx: 256	infected: 151
Land on rank 16, month 10 	influx: 279	infected: 170
Land on rank 13, month 10 	influx: 228	infected: 145
Land on rank  3, month 10 	influx: 284	infected: 182
Land on rank 17, month 10 	influx: 256	infected: 160
Land on rank  6, month 10 	influx: 244	infected: 154
Land on rank  7, month 10 	influx: 275	infected: 157
Land on rank 10, month 10 	influx: 277	infected: 156
Land on rank  4, month 10 	influx: 237	infected: 147

		    Timer report: month 11    
Land on rank  8, month 11 	influx: 95	infected: 73
Land on rank 10, month 11 	influx: 119	infected: 88
Land on rank 11, month 11 	influx: 117	infected: 97
Land on rank 13, month 11 	influx: 106	infected: 83
Land on rank 16, month 11 	influx: 138	infected: 112
Land on rank  3, month 11 	influx: 132	infected: 105
Land on rank 12, month 11 	influx: 108	infected: 92
Land on rank  9, month 11 	influx: 121	infected: 103
Land on rank  5, month 11 	influx: 126	infected: 112
Land on rank 15, month 11 	influx: 120	infected: 97
Land on rank  7, month 11 	influx: 126	infected: 102
Land on rank  2, month 11 	influx: 109	infected: 92
Land on rank  4, month 11 	influx: 95	infected: 83
Land on rank  6, month 11 	influx: 109	infected: 91
Land on rank 17, month 11 	influx: 105	infected: 82
Land on rank 14, month 11 	influx: 139	infected: 118

		    Timer report: month 12    
Land on rank  5, month 12 	influx: 30	infected: 28
Land on rank  3, month 12 	influx: 36	infected: 31
