Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
CTRL on 18 READY
Timer on 1 READY, simulation length: 20

		    Timer report: month  1    
Land on rank  3, month  1 	influx: 107	infected:  0
Land on rank  8, month  1 	influx: 126	infected:  5
Land on rank  9, month  1 	influx: 129	infected:  5
Land on rank 10, month  1 	influx: 122	infected: 11
Land on rank 12, month  1 	influx: 92	infected:  3
Land on rank 15, month  1 	influx: 114	infected:  3
Land on rank 17, month  1 	influx: 99	infected:  0
Land on rank  7, month  1 	influx: 108	infected:  3
Land on rank 13, month  1 	influx: 115	infected:  2
Land on rank  5, month  1 	influx: 108	infected:  4
Land on rank 14, month  1 	influx: 96	infected:  1
Land on rank  6, month  1 	influx: 94	infected:  0
Land on rank  2, month  1 	influx: 116	infected:  5
Land on rank  4, month  1 	influx: 103	infected:  3
Land on rank 16, month  1 	influx: 113	infected:  2
CTRL on rank 18, month  1 	population: 34
Land on rank 11, month  1 	influx: 115	infected:  2

		    Timer report: month  2    
Land on rank  2, month  2 	influx: 236	infected:  6
Land on rank  5, month  2 	influx: 223	infected:  4
Land on rank  6, month  2 	influx: 214	infected:  0
Land on rank  8, month  2 	influx: 234	infected:  5
Land on rank 10, month  2 	influx: 234	infected: 12
Land on rank 11, month  2 	influx: 217	infected:  2
Land on rank 14, month  2 	influx: 200	infected:  1
Land on rank 16, month  2 	influx: 226	infected:  2
CTRL on rank 18, month  2 	population: 36
Land on rank  3, month  2 	influx: 193	infected:  0
Land on rank 17, month  2 	influx: 189	infected:  0
Land on rank 12, month  2 	influx: 195	infected:  3
Land on rank  7, month  2 	influx: 218	infected:  4
Land on rank 15, month  2 	influx: 200	infected:  3
Land on rank  9, month  2 	influx: 271	infected:  6
Land on rank 13, month  2 	influx: 217	infected:  2
Land on rank  4, month  2 	influx: 206	infected:  3

		    Timer report: month  3    
Land on rank  2, month  3 	influx: 368	infected:  6
Land on rank  7, month  3 	influx: 350	infected:  4
Land on rank 10, month  3 	influx: 358	infected: 12
Land on rank 11, month  3 	influx: 365	infected:  2
Land on rank 12, month  3 	influx: 335	infected:  3
Land on rank 15, month  3 	influx: 345	infected:  3
Land on rank 17, month  3 	influx: 335	infected:  0
Land on rank  3, month  3 	influx: 331	infected:  0
Land on rank  8, month  3 	influx: 352	infected:  5
Land on rank 16, month  3 	influx: 357	infected:  2
Land on rank  5, month  3 	influx: 376	infected:  4
Land on rank 13, month  3 	influx: 333	infected:  2
Land on rank  4, month  3 	influx: 363	infected:  3
Land on rank  6, month  3 	influx: 362	infected:  0
Land on rank  9, month  3 	influx: 382	infected:  6
Land on rank 14, month  3 	influx: 332	infected:  1
CTRL on rank 18, month  3 	population: 45

		    Timer report: month  4    
Land on rank  2, month  4 	influx: 404	infected:  4
Land on rank 12, month  4 	influx: 421	infected:  1
Land on rank 15, month  4 	influx: 404	infected:  4
Land on rank 16, month  4 	influx: 439	infected:  4
CTRL on rank 18, month  4 	population: 52
Land on rank 13, month  4 	influx: 362	infected:  0
Land on rank 17, month  4 	influx: 380	infected:  4
Land on rank  8, month  4 	influx: 383	infected:  3
Land on rank  3, month  4 	influx: 400	infected:  1
Land on rank  5, month  4 	influx: 425	infected:  3
Land on rank 14, month  4 	influx: 383	infected:  1
Land on rank  7, month  4 	influx: 402	infected:  3
Land on rank  6, month  4 	influx: 423	infected:  5
Land on rank  9, month  4 	influx: 410	infected:  3
Land on rank  4, month  4 	influx: 404	infected:  1
Land on rank 10, month  4 	influx: 381	infected:  4
Land on rank 11, month  4 	influx: 391	infected:  1

		    Timer report: month  5    
Land on rank  2, month  5 	influx: 470	infected: 14
Land on rank  7, month  5 	influx: 448	infected:  7
Land on rank  8, month  5 	influx: 435	infected:  4
Land on rank  9, month  5 	influx: 442	infected:  7
Land on rank 13, month  5 	influx: 413	infected:  4
Land on rank 14, month  5 	influx: 453	infected:  6
Land on rank 17, month  5 	influx: 438	infected: 10
Land on rank 15, month  5 	influx: 491	infected: 10
Land on rank  4, month  5 	influx: 491	infected: 10
Land on rank  6, month  5 	influx: 452	infected: 10
Land on rank  3, month  5 	influx: 489	infected:  9
Land on rank 11, month  5 	influx: 479	infected:  4
Land on rank 12, month  5 	influx: 487	infected:  5
Land on rank 10, month  5 	influx: 440	infected: 12
CTRL on rank 18, month  5 	population: 59
Land on rank 16, month  5 	influx: 484	infected:  8
Land on rank  5, month  5 	influx: 474	infected: 10

		    Timer report: month  6    
Land on rank  8, month  6 	influx: 532	infected: 14
Land on rank  9, month  6 	influx: 558	infected: 21
Land on rank 11, month  6 	influx: 515	infected: 10
Land on rank 12, month  6 	influx: 522	infected: 21
Land on rank 14, month  6 	influx: 540	infected: 21
Land on rank 15, month  6 	influx: 541	infected: 16
CTRL on rank 18, month  6 	population: 63
Land on rank 17, month  6 	influx: 493	infected: 20
Land on rank 16, month  6 	influx: 562	infected: 15
Land on rank  2, month  6 	influx: 549	infected: 29
Land on rank 10, month  6 	influx: 496	infected: 22
Land on rank 13, month  6 	influx: 472	infected: 18
Land on rank  4, month  6 	influx: 509	infected: 25
Land on rank  6, month  6 	influx: 508	infected: 23
Land on rank  7, month  6 	influx: 528	infected: 16
Land on rank  5, month  6 	influx: 522	infected: 23
Land on rank  3, month  6 	influx: 556	infected: 26

		    Timer report: month  7    
Land on rank  3, month  7 	influx: 595	infected: 56
Land on rank  4, month  7 	influx: 555	infected: 44
Land on rank  7, month  7 	influx: 573	infected: 39
Land on rank  8, month  7 	influx: 557	infected: 41
Land on rank 10, month  7 	influx: 581	infected: 52
Land on rank 13, month  7 	influx: 501	infected: 35
Land on rank 15, month  7 	influx: 559	infected: 33
Land on rank 16, month  7 	influx: 561	infected: 32
CTRL on rank 18, month  7 	population: 64
Land on rank  2, month  7 	influx: 585	infected: 51
Land on rank  5, month  7 	influx: 556	infected: 44
Land on rank 14, month  7 	influx: 582	infected: 36
Land on rank 11, month  7 	influx: 572	infected: 31
Land on rank 17, month  7 	influx: 522	infected: 29
Land on rank  9, month  7 	influx: 596	infected: 37
Land on rank 12, month  7 	influx: 547	infected: 48
Land on rank  6, month  7 	influx: 558	infected: 48

		    Timer report: month  8    
Land on rank  2, month  8 	influx: 580	infected: 84
Land on rank  4, month  8 	influx: 520	infected: 80
Land on rank  5, month  8 	influx: 588	infected: 87
Land on rank 12, month  8 	influx: 535	infected: 94
Land on rank 14, month  8 	influx: 619	infected: 81
Land on rank 17, month  8 	influx: 541	infected: 71
Land on rank  8, month  8 	influx: 567	infected: 78
Land on rank  3, month  8 	influx: 633	infected: 107
Land on rank  9, month  8 	influx: 630	infected: 85
Land on rank 13, month  8 	influx: 528	infected: 78
Land on rank 11, month  8 	influx: 580	infected: 77
CTRL on rank 18, month  8 	population: 60
Land on rank  6, month  8 	influx: 589	infected: 91
Land on rank 10, month  8 	influx: 587	infected: 84
Land on rank 15, month  8 	influx: 558	infected: 74
Land on rank  7, month  8 	influx: 603	infected: 80
Land on rank 16, month  8 	influx: 586	infected: 72

		    Timer report: month  9    
Land on rank  3, month  9 	influx: 583	infected: 175
Land on rank  5, month  9 	influx: 520	infected: 142
Land on rank  6, month  9 	influx: 512	infected: 155
Land on rank  8, month  9 	influx: 526	infected: 149
Land on rank  9, month  9 	influx: 547	infected: 142
Land on rank 12, month  9 	influx: 506	infected: 159
Land on rank 14, month  9 	influx: 546	infected: 142
Land on rank 16, month  9 	influx: 516	infected: 143
Land on rank 17, month  9 	influx: 491	infected: 147
Land on rank  2, month  9 	influx: 504	infected: 140
Land on rank  7, month  9 	influx: 535	infected: 152
Land on rank 13, month  9 	influx: 474	infected: 130
CTRL on rank 18, month  9 	population: 36
Land on rank 15, month  9 	influx: 527	infected: 149
Land on rank  4, month  9 	influx: 474	infected: 135
Land on rank 11, month  9 	influx: 562	infected: 163
Land on rank 10, month  9 	influx: 588	infected: 161

		    Timer report: month 10    
Land on rank  2, month 10 	influx: 406	infected: 176
Land on rank  4, month 10 	influx: 377	infected: 177
Land on rank  7, month 10 	influx: 421	infected: 178
Land on rank  8, month 10 	influx: 439	infected: 182
Land on rank  9, month 10 	influx: 440	infected: 191
Land on rank 14, month 10 	influx: 442	infected: 188
Land on rank 15, month 10 	influx: 428	infected: 186
Land on rank 17, month 10 	influx: 410	infected: 189
Land on rank 10, month 10 	influx: 460	infected: 187
Land on rank 12, month 10 	influx: 396	infected: 198
Land on rank 13, month 10 	influx: 395	infected: 181
CTRL on rank 18, month 10 	population: 25
Land on rank  5, month 10 	influx: 407	infected: 170
Land on rank  6, month 10 	influx: 407	infected: 187
Land on rank 11, month 10 	influx: 455	infected: 198
Land on rank 16, month 10 	influx: 431	infected: 190
Land on rank  3, month 10 	influx: 461	infected: 211

		    Timer report: month 11    
Land on rank  5, month 11 	influx: 264	infected: 164
Land on rank  6, month 11 	influx: 267	infected: 177
Land on rank  9, month 11 	influx: 277	infected: 177
Land on rank 10, month 11 	influx: 319	infected: 177
Land on rank 13, month 11 	influx: 251	infected: 166
Land on rank 14, month 11 	influx: 276	infected: 181
CTRL on rank 18, month 11 	population: 7
Land on rank  8, month 11 	influx: 308	infected: 180
Land on rank 11, month 11 	influx: 294	infected: 182
Land on rank 12, month 11 	influx: 280	infected: 186
Land on rank  4, month 11 	influx: 259	infected: 169
Land on rank  2, month 11 	influx: 264	infected: 167
Land on rank  3, month 11 	influx: 298	infected: 196
Land on rank 16, month 11 	influx: 299	infected: 189
Land on rank 15, month 11 	influx: 302	infected: 178
Land on rank 17, month 11 	influx: 286	infected: 182
Land on rank  7, month 11 	influx: 286	infected: 176

		    Timer report: month 12    
Land on rank  2, month 12 	influx: 143	infected: 109
Land on rank  6, month 12 	influx: 150	infected: 110
Land on rank 10, month 12 	influx: 149	infected: 100
Land on rank 13, month 12 	influx: 142	infected: 109
Land on rank 12, month 12 	influx: 141	infected: 109
Land on rank 14, month 12 	influx: 138	infected: 112
Land on rank  4, month 12 	influx: 140	infected: 107
Land on rank 15, month 12 	influx: 148	infected: 105
Land on rank 17, month 12 	influx: 151	infected: 110
Land on rank  3, month 12 	influx: 151	infected: 118
Land on rank  9, month 12 	influx: 142	infected: 114
Land on rank  8, month 12 	influx: 147	infected: 109
Land on rank 11, month 12 	influx: 141	infected: 100
Land on rank 16, month 12 	influx: 170	infected: 119
CTRL on rank 18, month 12 	population: 1
Land on rank  5, month 12 	influx: 137	infected: 101
Land on rank  7, month 12 	influx: 156	infected: 105

		    Timer report: month 13    
Land on rank  4, month 13 	influx: 48	infected: 46
Land on rank  5, month 13 	influx: 63	infected: 53
Land on rank  8, month 13 	influx: 53	infected: 47
Land on rank 13, month 13 	influx: 52	infected: 45
Land on rank 15, month 13 	influx: 60	infected: 51
Land on rank  2, month 13 	influx: 57	infected: 52
Land on rank  9, month 13 	influx: 56	infected: 49
Land on rank 11, month 13 	influx: 51	infected: 44
Land on rank  7, month 13 	influx: 66	infected: 55
Land on rank 17, month 13 	influx: 61	infected: 57
CTRL on rank 18, month 13 	population: 0
Land on rank 16, month 13 	influx: 64	infected: 54
Land on rank 14, month 13 	influx: 54	infected: 51
Land on rank 10, month 13 	influx: 48	infected: 42
Land on rank 12, month 13 	influx: 51	infected: 45
Land on rank  3, month 13 	influx: 64	infected: 57
Land on rank  6, month 13 	influx: 53	infected: 51

		    Timer report: month 14    
Land on rank  5, month 14 	influx: 10	infected:  9
Land on rank  6, month 14 	influx: 13	infected: 13
Land on rank  8, month 14 	influx: 14	infected: 11
Land on rank 10, month 14 	influx: 12	infected: 11
Land on rank 12, month 14 	influx: 10	infected:  7
Land on rank 15, month 14 	influx: 14	infected: 12
Land on rank 16, month 14 	influx: 13	infected: 11
Land on rank  2, month 14 	influx: 18	infected: 17
Land on rank 14, month 14 	influx:  9	infected:  8
CTRL on rank 18, month 14 	population: 0
