Parameters read
34	16	100	0	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank  2, month  1 	influx: 115	infected:  0
Land on rank  5, month  1 	influx: 106	infected:  0
Land on rank  8, month  1 	influx: 119	infected:  0
Land on rank 12, month  1 	influx: 91	infected:  0
Land on rank 13, month  1 	influx: 107	infected:  0
Land on rank 14, month  1 	influx: 90	infected:  0
Land on rank 15, month  1 	influx: 114	infected:  0
CTRL on rank 18, month  1 	population: 34
Land on rank 17, month  1 	influx: 88	infected:  0
Land on rank  4, month  1 	influx: 97	infected:  0
Land on rank 16, month  1 	influx: 122	infected:  0
Land on rank  3, month  1 	influx: 107	infected:  0
Land on rank 11, month  1 	influx: 114	infected:  0
Land on rank  7, month  1 	influx: 106	infected:  0
Land on rank  9, month  1 	influx: 127	infected:  0
Land on rank  6, month  1 	influx: 98	infected:  0
Land on rank 10, month  1 	influx: 113	infected:  0

		    Timer report: month  2    
Land on rank  4, month  2 	influx: 216	infected:  0
Land on rank  7, month  2 	influx: 221	infected:  0
Land on rank  9, month  2 	influx: 257	infected:  0
Land on rank 10, month  2 	influx: 242	infected:  0
Land on rank 12, month  2 	influx: 212	infected:  0
Land on rank 17, month  2 	influx: 196	infected:  0
Land on rank  6, month  2 	influx: 221	infected:  0
Land on rank 16, month  2 	influx: 231	infected:  0
Land on rank 14, month  2 	influx: 205	infected:  0
Land on rank  5, month  2 	influx: 223	infected:  0
Land on rank 11, month  2 	influx: 212	infected:  0
Land on rank 15, month  2 	influx: 217	infected:  0
Land on rank  2, month  2 	influx: 242	infected:  0
Land on rank  3, month  2 	influx: 200	infected:  0
Land on rank 13, month  2 	influx: 228	infected:  0
Land on rank  8, month  2 	influx: 233	infected:  0
CTRL on rank 18, month  2 	population: 42

		    Timer report: month  3    
Land on rank  2, month  3 	influx: 375	infected:  0
Land on rank  3, month  3 	influx: 354	infected:  0
Land on rank 14, month  3 	influx: 352	infected:  0
Land on rank 15, month  3 	influx: 356	infected:  0
Land on rank 12, month  3 	influx: 337	infected:  0
Land on rank  7, month  3 	influx: 360	infected:  0
Land on rank  9, month  3 	influx: 387	infected:  0
Land on rank 11, month  3 	influx: 350	infected:  0
CTRL on rank 18, month  3 	population: 49
Land on rank  5, month  3 	influx: 375	infected:  0
Land on rank 10, month  3 	influx: 371	infected:  0
Land on rank 13, month  3 	influx: 358	infected:  0
Land on rank  4, month  3 	influx: 355	infected:  0
Land on rank  6, month  3 	influx: 369	infected:  0
Land on rank 16, month  3 	influx: 386	infected:  0
Land on rank 17, month  3 	influx: 344	infected:  0
Land on rank  8, month  3 	influx: 370	infected:  0

		    Timer report: month  4    
Land on rank  2, month  4 	influx: 452	infected:  0
Land on rank  4, month  4 	influx: 447	infected:  0
Land on rank  5, month  4 	influx: 444	infected:  0
Land on rank  6, month  4 	influx: 453	infected:  0
Land on rank  7, month  4 	influx: 434	infected:  0
Land on rank  9, month  4 	influx: 435	infected:  0
Land on rank 10, month  4 	influx: 419	infected:  0
Land on rank 16, month  4 	influx: 464	infected:  0
Land on rank 13, month  4 	influx: 441	infected:  0
Land on rank  3, month  4 	influx: 427	infected:  0
Land on rank 17, month  4 	influx: 422	infected:  0
Land on rank  8, month  4 	influx: 427	infected:  0
Land on rank 12, month  4 	influx: 438	infected:  0
Land on rank 14, month  4 	influx: 431	infected:  0
Land on rank 15, month  4 	influx: 435	infected:  0
Land on rank 11, month  4 	influx: 411	infected:  0
CTRL on rank 18, month  4 	population: 56

		    Timer report: month  5    
Land on rank  6, month  5 	influx: 532	infected:  0
Land on rank  9, month  5 	influx: 515	infected:  0
Land on rank 10, month  5 	influx: 460	infected:  0
Land on rank 11, month  5 	influx: 494	infected:  0
Land on rank 14, month  5 	influx: 518	infected:  0
Land on rank 17, month  5 	influx: 516	infected:  0
Land on rank 15, month  5 	influx: 502	infected:  0
Land on rank 16, month  5 	influx: 538	infected:  0
Land on rank  4, month  5 	influx: 505	infected:  0
Land on rank  5, month  5 	influx: 520	infected:  0
Land on rank 13, month  5 	influx: 498	infected:  0
Land on rank  2, month  5 	influx: 511	infected:  0
Land on rank 12, month  5 	influx: 507	infected:  0
CTRL on rank 18, month  5 	population: 61
Land on rank  3, month  5 	influx: 528	infected:  0
Land on rank  7, month  5 	influx: 505	infected:  0
Land on rank  8, month  5 	influx: 505	infected:  0

		    Timer report: month  6    
Land on rank  2, month  6 	influx: 590	infected:  0
Land on rank  3, month  6 	influx: 608	infected:  0
Land on rank  4, month  6 	influx: 592	infected:  0
Land on rank  6, month  6 	influx: 613	infected:  0
Land on rank  7, month  6 	influx: 606	infected:  0
Land on rank  8, month  6 	influx: 583	infected:  0
Land on rank 15, month  6 	influx: 618	infected:  0
Land on rank 17, month  6 	influx: 565	infected:  0
CTRL on rank 18, month  6 	population: 67
Land on rank  5, month  6 	influx: 577	infected:  0
Land on rank 11, month  6 	influx: 594	infected:  0
Land on rank 13, month  6 	influx: 562	infected:  0
Land on rank 12, month  6 	influx: 585	infected:  0
Land on rank 14, month  6 	influx: 585	infected:  0
Land on rank 16, month  6 	influx: 592	infected:  0
Land on rank 10, month  6 	influx: 534	infected:  0
Land on rank  9, month  6 	influx: 617	infected:  0

		    Timer report: month  7    
Land on rank  3, month  7 	influx: 654	infected:  0
Land on rank  4, month  7 	influx: 566	infected:  0
